seq,name
208,탁월한 능력은 새로운 과제를 만날 때마다 스스로 발전하고 드러낸다.
209,자신을 내 보여라\n그러면 재능이 드러날 것이다.
210,자신을 믿어라\n자신의 능력을 신뢰하라\n겸손하지만 합리적인 자신감없이는 성공할 수도 행복할 수도 없다.
211,흠집 없는 조약돌보다는 흠집 있는 다이아몬드가 낫다.
212,내 자신에 대한 자신감을 잃으면, 온 세상이 나의 적이 된다.
213,내가 있는 곳이 낙원이라.
214,할 수 있는 일을 해낸다면 우리 자신이 가장 놀라게 될 것이다.
215,이 세상에 열정없이 이루어진 위대한 것은 없다.
216,삶의 원동력은 무엇일까? 첫째도 욕망! 둘째도 욕망! 셋째도 욕망이다.
217,장애물을 만났다고 반드시 멈춰야 하는 것은 아니다\n벽에 부딪힌다면 돌아서서 포기하지 말라\n어떻게 벽에 오를지 벽을 뚫고 나갈 수 있을지 또는 돌아갈 방법은 없는지 생각하라.
218,계산된 위험은 감수하라\n이는 단순히 무모한 것과는 완전히 다른 것이다.
219,여러분이 할 수 있는 가장 큰 모험은 바로 여러분이 꿈꿔오던 삶을 사는 것입니다.
220,이 세상에 위대한 사람은 없다\n단지 평범한 사람들이 일어나 맞서는 위대한 도전이 있을 뿐이다.
221,어떤 일을 하기에 앞서 스스로 그 일에 대한 기대를 가져야 한다.
222,세상 모든 일은 여러분이 무엇을 생각하느냐에 따라 일어납니다.
223,못 가진 것에 대한 욕망으로 가진 것을 망치지 말라\n하지만 지금 가진 것이 한때는 바라기만 했던 것 중 하나였다는 것도 기억하라.
224,꿈은 이루어진다\n이루어질 가능성이 없었다면 애초에 자연이 우리를 꿈꾸게 하지도 않았을 것이다.
225,매일 아침 하루 일과를 계획하고 그 계획을 실행하는 사람은 극도로 바쁜 미로 같은 삶 속에서 그를 안내할 한 올의 실을 지니고 있는 것이다\n그러나 계획이 서있지 않고 단순히 우발적으로 시간을 사용하게 된다면 곧 무질서가 삶을 지배할 것이다,
226,나는 똑똑한 것이 아니라 단지 문제를 더 오래 연구할 뿐이다.
227,성실함의 잣대로 스스로를 평가하라\n그리고 관대함의 잣대로 남들을 평가하라.
228,쉽게 빠져나가는 방법은 없다\n있었다면 그 방법을 썼을 거다\n정말이지! 그런 방법은 내가 가장 좋아하는 것 중 하나일 거다!,
229,아무 하는 일 없이 시간을 허비하지 않겠다고 맹세하라\n우리가 항상 뭔가를 한다면 놀라우리만치 많은 일을 해낼 수 있다.
230,준비 여부에 관계 없이 열망을 실현하기 위한 명확한 계획을 세우고 즉시 착수하여 그 계획을 실행에 옮겨라.
231,만일 내게 나무를 베기 위해 한 시간만 주어진다면 우선 나는 도끼를 가는데 45분을 쓸 것이다.
232,게으름은 즐겁지만 괴로운 상태다\n우리는 행복해지기 위해서 무엇인가 하고 있어야 한다.
233,우리가 진정으로 소유하는 것은 시간 뿐이다\n가진 것이 달리 아무 것도 없는 이에게도 시간은 있다.
234,과거를 기억 못하는 이들은 과거를 반복하기 마련이다.
235,일 분 전만큼 먼 시간은 없다.
236,내일은 인생에서 가장 중요한 것이다\n자정이 되면 내일은 매우 깨끗한 상태로 우리에게 다가온다\n매우 완벽한 모습으로 우리 곁으로 와 우리 손으로 들어온다\n내일은 우리가 어제에서 뭔가를 배웠기를 희망한다.
237,미래에 사로잡혀있으면 현재를 있는 그대로 볼 수 없을 뿐 아니라 과거까지 재구성하려 들게 된다.
238,과거를 애절하게 들여다보지 마라\n다시 오지 않는다\n현재를 현명하게 개선하라\n너의 것이니\n어렴풋한 미래를 나아가 맞으라\n두려움 없이.
239,경험을 현명하게 사용한다면\n어떤 일도 시간 낭비는 아니다.
240,지금의 시대도, 언제나 그렇듯 아주 훌륭한 시대입니다\n이 시대에 우리가 무엇을 해야 하는지만 알고 있다면.
241,사탕발린 칭찬이 아닌 분별있는 애정의 증표로 친구를 사귀어라.
242,우정이 깊어지는 것을 거부하지 말라\n열에 아홉이 아무것도 가져다 주지 않을 때 나머지 하나가 되돌려 줄 수 있으니.
243,우리는 사랑하는 친구들에 의해서만 알려진다.
244,여러분을 더욱 높이 올려줄 사람만을 가까이 하세요.
245,모든 것을 가졌다 해도 친구가 없다면 아무도 살길 원치 않을 것이다.
246,자신을 사랑하는 법을 아는 것이 가장 위대한 사랑이다.
